LID , TYPE , CA , NP , PD
I:/Project/BHLU/ReclassTo3/FID_17/year_2015.img , cls_3 ,  192276.9044 ,    1512.0000 ,       0.0056
I:/Project/BHLU/ReclassTo3/FID_18/year_1992.img , cls_1 , 121782411.6462 ,   77973.0000 ,       0.0374
I:/Project/BHLU/ReclassTo3/FID_18/year_1992.img , cls_2 , 85203918.7546 ,   93953.0000 ,       0.0451
I:/Project/BHLU/ReclassTo3/FID_18/year_1992.img , cls_3 , 1479706.8854 ,   20172.0000 ,       0.0097
I:/Project/BHLU/ReclassTo3/FID_18/year_2015.img , cls_1 , 117720281.8754 ,   82966.0000 ,       0.0398
I:/Project/BHLU/ReclassTo3/FID_18/year_2015.img , cls_2 , 87527444.0893 ,   89106.0000 ,       0.0427
I:/Project/BHLU/ReclassTo3/FID_18/year_2015.img , cls_3 , 3218311.3214 ,   36020.0000 ,       0.0173
I:/Project/BHLU/ReclassTo3/FID_19/year_1992.img , cls_1 , 91821004.9897 ,   17146.0000 ,       0.0152
I:/Project/BHLU/ReclassTo3/FID_19/year_1992.img , cls_2 , 20284021.6286 ,   37765.0000 ,       0.0335
I:/Project/BHLU/ReclassTo3/FID_19/year_1992.img , cls_3 ,  459178.2870 ,    5474.0000 ,       0.0049
I:/Project/BHLU/ReclassTo3/FID_19/year_2015.img , cls_1 , 90698481.7988 ,   18858.0000 ,       0.0168
I:/Project/BHLU/ReclassTo3/FID_19/year_2015.img , cls_2 , 21009293.5476 ,   41001.0000 ,       0.0364
I:/Project/BHLU/ReclassTo3/FID_19/year_2015.img , cls_3 ,  856429.5589 ,    9035.0000 ,       0.0080
I:/Project/BHLU/ReclassTo3/FID_20/year_1992.img , cls_1 , 24260666.9059 ,     932.0000 ,       0.0036
I:/Project/BHLU/ReclassTo3/FID_20/year_1992.img , cls_2 , 1897058.4857 ,   16427.0000 ,       0.0628
I:/Project/BHLU/ReclassTo3/FID_20/year_1992.img , cls_3 ,   16995.8347 ,     305.0000 ,       0.0012
I:/Project/BHLU/ReclassTo3/FID_20/year_2015.img , cls_1 , 24119112.3296 ,    1077.0000 ,       0.0041
I:/Project/BHLU/ReclassTo3/FID_20/year_2015.img , cls_2 , 2016294.6293 ,   16882.0000 ,       0.0645
I:/Project/BHLU/ReclassTo3/FID_20/year_2015.img , cls_3 ,   39314.2673 ,     686.0000 ,       0.0026
I:/Project/BHLU/ReclassTo3/FID_21/year_1992.img , cls_1 , 1598501.1947 ,     316.0000 ,       0.0167
I:/Project/BHLU/ReclassTo3/FID_21/year_1992.img , cls_2 ,  288465.9752 ,    1421.0000 ,       0.0752
I:/Project/BHLU/ReclassTo3/FID_21/year_1992.img , cls_3 ,    1750.5405 ,      58.0000 ,       0.0031
I:/Project/BHLU/ReclassTo3/FID_21/year_2015.img , cls_1 , 1620671.7460 ,     308.0000 ,       0.0163
I:/Project/BHLU/ReclassTo3/FID_21/year_2015.img , cls_2 ,  264296.0756 ,    1461.0000 ,       0.0774
I:/Project/BHLU/ReclassTo3/FID_21/year_2015.img , cls_3 ,    3749.8888 ,      66.0000 ,       0.0035
I:/Project/BHLU/ReclassTo3/FID_23/year_1992.img , cls_1 , 14992404.2146 ,   13220.0000 ,       0.0447
I:/Project/BHLU/ReclassTo3/FID_23/year_1992.img , cls_2 , 14503452.3135 ,   13511.0000 ,       0.0457
I:/Project/BHLU/ReclassTo3/FID_23/year_1992.img , cls_3 ,  100013.9382 ,    1155.0000 ,       0.0039
I:/Project/BHLU/ReclassTo3/FID_23/year_2015.img , cls_1 , 15393558.8186 ,   13169.0000 ,       0.0445
I:/Project/BHLU/ReclassTo3/FID_23/year_2015.img , cls_2 , 13975532.7437 ,   14060.0000 ,       0.0475
I:/Project/BHLU/ReclassTo3/FID_23/year_2015.img , cls_3 ,  226778.9039 ,    2268.0000 ,       0.0077
I:/Project/BHLU/ReclassTo3/FID_25/year_1992.img , cls_1 , 19530155.4245 ,   11812.0000 ,       0.0332
I:/Project/BHLU/ReclassTo3/FID_25/year_1992.img , cls_2 , 16006772.0173 ,    8598.0000 ,       0.0241
I:/Project/BHLU/ReclassTo3/FID_25/year_1992.img , cls_3 ,   81189.0981 ,     381.0000 ,       0.0011
I:/Project/BHLU/ReclassTo3/FID_25/year_2015.img , cls_1 , 19340010.4418 ,   12151.0000 ,       0.0341
I:/Project/BHLU/ReclassTo3/FID_25/year_2015.img , cls_2 , 16130498.5179 ,    8512.0000 ,       0.0239
I:/Project/BHLU/ReclassTo3/FID_25/year_2015.img , cls_3 ,  147607.5801 ,     723.0000 ,       0.0020
I:/Project/BHLU/ReclassTo3/FID_26/year_1992.img , cls_1 , 10132502.9556 ,     136.0000 ,       0.0013
I:/Project/BHLU/ReclassTo3/FID_26/year_1992.img , cls_3 ,    3340.9128 ,      89.0000 ,       0.0009
I:/Project/BHLU/ReclassTo3/FID_26/year_1992.img , cls_2 ,  117499.7378 ,     778.0000 ,       0.0076
I:/Project/BHLU/ReclassTo3/FID_26/year_2015.img , cls_1 , 10123706.3158 ,     151.0000 ,       0.0015
I:/Project/BHLU/ReclassTo3/FID_26/year_2015.img , cls_3 ,    6122.2638 ,     103.0000 ,       0.0010
I:/Project/BHLU/ReclassTo3/FID_26/year_2015.img , cls_2 ,  123515.0266 ,     753.0000 ,       0.0073
I:/Project/BHLU/ReclassTo3/FID_27/year_1992.img , cls_1 , 110465226.3063 ,   35265.0000 ,       0.0236
I:/Project/BHLU/ReclassTo3/FID_27/year_1992.img , cls_2 , 37837842.9702 ,   69610.0000 ,       0.0466
I:/Project/BHLU/ReclassTo3/FID_27/year_1992.img , cls_3 ,  938638.6127 ,    7515.0000 ,       0.0050
I:/Project/BHLU/ReclassTo3/FID_27/year_2015.img , cls_1 , 108119012.1295 ,   42569.0000 ,       0.0285
I:/Project/BHLU/ReclassTo3/FID_27/year_2015.img , cls_2 , 39340270.8537 ,   71298.0000 ,       0.0478
I:/Project/BHLU/ReclassTo3/FID_27/year_2015.img , cls_3 , 1782424.9061 ,   11978.0000 ,       0.0080
I:/Project/BHLU/ReclassTo3/FID_28/year_1992.img , cls_1 , 146100346.3274 ,    3723.0000 ,       0.0024
